id,name,latitude,longitude
1,Afghanistan,33,65
2,Aland Islands,60.116667,19.9
3,Albania,41,20
4,Algeria,28,3
5,American Samoa,-14.33333333,-170
6,Andorra,42.5,1.5
7,Angola,-12.5,18.5
8,Anguilla,18.25,-63.16666666
9,Antarctica,-74.65,4.48
10,Antigua and Barbuda,17.05,-61.8
11,Argentina,-34,-64
12,Armenia,40,45
13,Aruba,12.5,-69.96666666
14,Australia,-27,133
15,Austria,47.33333333,13.33333333
16,Azerbaijan,40.5,47.5
18,Bahrain,26,50.55
19,Bangladesh,24,90
20,Barbados,13.16666666,-59.53333333
21,Belarus,53,28
22,Belgium,50.83333333,4
23,Belize,17.25,-88.75
24,Benin,9.5,2.25
25,Bermuda,32.33333333,-64.75
26,Bhutan,27.5,90.5
27,Bolivia,-17,-65
155,"Bonaire, Sint Eustatius and Saba",12.15,-68.266667
28,Bosnia and Herzegovina,44,18
29,Botswana,-22,24
30,Bouvet Island,-54.43333333,3.4
31,Brazil,-10,-55
32,British Indian Ocean Territory,-6,71.5
33,Brunei,4.5,114.6666667
34,Bulgaria,43,25
35,Burkina Faso,13,-2
36,Burundi,-3.5,30
37,Cambodia,13,105
38,Cameroon,6,12
39,Canada,60,-95
40,Cape Verde,16,-24
41,Cayman Islands,19.5,-80.5
42,Central African Republic,7,21
43,Chad,15,19
44,Chile,-30,-71
45,China,35,105
46,Christmas Island,-10.5,105.6666667
47,Cocos (Keeling) Islands,-12.5,96.83333333
48,Colombia,4,-72
49,Comoros,-12.16666666,44.25
50,Congo,-1,15
52,Cook Islands,-21.23333333,-159.7666667
53,Costa Rica,10,-84
54,Cote D'Ivoire (Ivory Coast),8,-5
55,Croatia,45.16666666,15.5
56,Cuba,21.5,-80
249,Curaçao,12.116667,-68.933333
57,Cyprus,35,33
58,Czech Republic,49.75,15.5
51,Democratic Republic of the Congo,0,25
59,Denmark,56,10
60,Djibouti,11.5,43
61,Dominica,15.41666666,-61.33333333
62,Dominican Republic,19,-70.66666666
64,Ecuador,-2,-77.5
65,Egypt,27,30
66,El Salvador,13.83333333,-88.91666666
67,Equatorial Guinea,2,10
68,Eritrea,15,39
69,Estonia,59,26
212,Eswatini,-26.5,31.5
70,Ethiopia,8,38
71,Falkland Islands,-51.75,-59
72,Faroe Islands,62,-7
73,Fiji Islands,-18,175
74,Finland,64,26
75,France,46,2
76,French Guiana,4,-53
77,French Polynesia,-15,-140
78,French Southern Territories,-49.25,69.167
79,Gabon,-1,11.75
81,Georgia,42,43.5
82,Germany,51,9
83,Ghana,8,-2
84,Gibraltar,36.13333333,-5.35
85,Greece,39,22
86,Greenland,72,-40
87,Grenada,12.11666666,-61.66666666
88,Guadeloupe,16.25,-61.583333
89,Guam,13.46666666,144.7833333
90,Guatemala,15.5,-90.25
91,Guernsey and Alderney,49.46666666,-2.58333333
92,Guinea,11,-10
93,Guinea-Bissau,12,-15
94,Guyana,5,-59
95,Haiti,19,-72.41666666
96,Heard Island and McDonald Islands,-53.1,72.51666666
97,Honduras,15,-86.5
98,Hong Kong S.A.R.,22.25,114.1666667
99,Hungary,47,20
100,Iceland,65,-18
101,India,20,77
102,Indonesia,-5,120
103,Iran,32,53
104,Iraq,33,44
105,Ireland,53,-8
106,Israel,31.5,34.75
107,Italy,42.83333333,12.83333333
108,Jamaica,18.25,-77.5
109,Japan,36,138
110,Jersey,49.25,-2.16666666
111,Jordan,31,36
112,Kazakhstan,48,68
113,Kenya,1,38
114,Kiribati,1.41666666,173
248,Kosovo,42.5612909,20.3403035
117,Kuwait,29.5,45.75
118,Kyrgyzstan,41,75
119,Laos,18,105
120,Latvia,57,25
121,Lebanon,33.83333333,35.83333333
122,Lesotho,-29.5,28.5
123,Liberia,6.5,-9.5
124,Libya,25,17
125,Liechtenstein,47.26666666,9.53333333
126,Lithuania,56,24
127,Luxembourg,49.75,6.16666666
128,Macau S.A.R.,22.16666666,113.55
130,Madagascar,-20,47
131,Malawi,-13.5,34
132,Malaysia,2.5,112.5
133,Maldives,3.25,73
134,Mali,17,-4
135,Malta,35.83333333,14.58333333
136,Man (Isle of),54.25,-4.5
137,Marshall Islands,9,168
138,Martinique,14.666667,-61
139,Mauritania,20,-12
140,Mauritius,-20.28333333,57.55
141,Mayotte,-12.83333333,45.16666666
142,Mexico,23,-102
143,Micronesia,6.91666666,158.25
144,Moldova,47,29
145,Monaco,43.73333333,7.4
146,Mongolia,46,105
147,Montenegro,42.5,19.3
148,Montserrat,16.75,-62.2
149,Morocco,32,-5
150,Mozambique,-18.25,35
151,Myanmar,22,98
152,Namibia,-22,17
153,Nauru,-0.53333333,166.9166667
154,Nepal,28,84
156,Netherlands,52.5,5.75
157,New Caledonia,-21.5,165.5
158,New Zealand,-41,174
159,Nicaragua,13,-85
160,Niger,16,8
161,Nigeria,10,8
162,Niue,-19.03333333,-169.8666667
163,Norfolk Island,-29.03333333,167.95
115,North Korea,40,127
129,North Macedonia,41.83333333,22
164,Northern Mariana Islands,15.2,145.75
165,Norway,62,10
166,Oman,21,57
167,Pakistan,30,70
168,Palau,7.5,134.5
169,Palestinian Territory Occupied,31.9,35.2
170,Panama,9,-80
171,Papua New Guinea,-6,147
172,Paraguay,-23,-58
173,Peru,-10,-76
174,Philippines,13,122
175,Pitcairn Island,-25.06666666,-130.1
176,Poland,52,20
177,Portugal,39.5,-8
178,Puerto Rico,18.25,-66.5
179,Qatar,25.5,51.25
180,Reunion,-21.15,55.5
181,Romania,46,25
182,Russia,60,100
183,Rwanda,-2,30
184,Saint Helena,-15.95,-5.7
185,Saint Kitts and Nevis,17.33333333,-62.75
186,Saint Lucia,13.88333333,-60.96666666
187,Saint Pierre and Miquelon,46.83333333,-56.33333333
188,Saint Vincent and the Grenadines,13.25,-61.2
189,Saint-Barthelemy,18.5,-63.41666666
190,Saint-Martin (French part),18.08333333,-63.95
191,Samoa,-13.58333333,-172.3333333
192,San Marino,43.76666666,12.41666666
193,Sao Tome and Principe,1,7
194,Saudi Arabia,25,45
195,Senegal,14,-14
196,Serbia,44,21
197,Seychelles,-4.58333333,55.66666666
198,Sierra Leone,8.5,-11.5
199,Singapore,1.36666666,103.8
250,Sint Maarten (Dutch part),18.033333,-63.05
200,Slovakia,48.66666666,19.5
201,Slovenia,46.11666666,14.81666666
202,Solomon Islands,-8,159
203,Somalia,10,49
204,South Africa,-29,24
205,South Georgia,-54.5,-37
116,South Korea,37,127.5
206,South Sudan,7,30
207,Spain,40,-4
208,Sri Lanka,7,81
209,Sudan,15,30
210,Suriname,4,-56
211,Svalbard and Jan Mayen Islands,78,20
213,Sweden,62,15
214,Switzerland,47,8
215,Syria,35,38
216,Taiwan,23.5,121
217,Tajikistan,39,71
218,Tanzania,-6,35
219,Thailand,15,100
17,The Bahamas,24.25,-76
80,The Gambia ,13.46666666,-16.56666666
63,Timor-Leste,-8.83333333,125.9166667
220,Togo,8,1.16666666
221,Tokelau,-9,-172
222,Tonga,-20,-175
223,Trinidad and Tobago,11,-61
224,Tunisia,34,9
225,Turkey,39,35
226,Turkmenistan,40,60
227,Turks and Caicos Islands,21.75,-71.58333333
228,Tuvalu,-8,178
229,Uganda,1,32
230,Ukraine,49,32
231,United Arab Emirates,24,54
232,United Kingdom,54,-2
233,United States,38,-97
234,United States Minor Outlying Islands,0,0
235,Uruguay,-33,-56
236,Uzbekistan,41,64
237,Vanuatu,-16,167
238,Vatican City State (Holy See),41.9,12.45
239,Venezuela,8,-66
240,Vietnam,16.16666666,107.8333333
241,Virgin Islands (British),18.431383,-64.62305
242,Virgin Islands (US),18.34,-64.93
243,Wallis and Futuna Islands,-13.3,-176.2
244,Western Sahara,24.5,-13
245,Yemen,15,48
246,Zambia,-15,30
247,Zimbabwe,-20,30
